timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1742648400000,84232.40000000,84242.30000000,84040.99000000,84168.31000000,255.74960000,1742651999999,21516573.06799410,36462,90.75707000,7635397.40592010,0
1742652000000,84168.31000000,84203.69000000,84001.71000000,84007.23000000,274.82755000,1742655599999,23108912.89618310,43172,101.69959000,8552027.35838350,0
1742655600000,84007.23000000,84130.43000000,83975.42000000,84109.09000000,268.67853000,1742659199999,22579087.09399550,38512,131.43264000,11045579.67823120,0
1742659200000,84109.08000000,84160.00000000,84063.53000000,84141.00000000,210.74680000,1742662799999,17725170.89418730,28799,108.24299000,9104165.32748940,0
1742662800000,84141.00000000,84258.42000000,84130.57000000,84238.83000000,187.61090000,1742666399999,15793526.04870410,28317,86.92507000,7317305.88545990,0
1742666400000,84238.83000000,84320.00000000,84191.52000000,84239.14000000,250.47953000,1742669999999,21103321.43981120,31866,125.46956000,10570906.07751360,0
1742670000000,84239.14000000,84271.74000000,84162.04000000,84171.59000000,169.93759000,1742673599999,14311421.29180370,29638,75.79116000,6382567.55889730,0
1742673600000,84171.59000000,84204.19000000,83944.69000000,83944.69000000,244.79410000,1742677199999,20587488.40421760,31417,66.69016000,5609920.49275000,0
1742677200000,83944.70000000,84103.99000000,83841.41000000,84010.87000000,216.42605000,1742680799999,18178406.70592670,42074,97.74981000,8210170.92467790,0
1742680800000,84010.87000000,84069.75000000,83958.82000000,83961.39000000,143.99744000,1742684399999,12097181.80158710,28347,58.71486000,4932526.09790400,0
1742684400000,83961.39000000,83961.39000000,83625.10000000,83840.59000000,345.16229000,1742687999999,28933293.60613310,41603,110.74964000,9282735.20650900,0
1742688000000,83840.59000000,84048.54000000,83809.75000000,84007.00000000,228.18973000,1742691599999,19154186.84587900,46222,105.54579000,8859014.96618070,0
1742691600000,84007.00000000,84132.59000000,83978.74000000,84067.56000000,162.78143000,1742695199999,13685540.25079780,38649,70.73748000,5946793.08865310,0
1742695200000,84067.57000000,84277.07000000,83993.12000000,84233.78000000,195.88491000,1742698799999,16487485.35971530,30618,105.60019000,8889036.69169710,0
1742698800000,84233.78000000,84250.02000000,84131.81000000,84224.39000000,148.34163000,1742702399999,12489995.47863320,26663,65.88724000,5547538.07023920,0
1742702400000,84224.39000000,84229.37000000,84070.22000000,84100.00000000,177.81647000,1742705999999,14955484.99046300,21457,86.97098000,7314107.95790590,0
1742706000000,84099.99000000,84240.00000000,84099.99000000,84230.10000000,102.65029000,1742709599999,8638486.87646970,17718,52.24441000,4396272.65384070,0
1742709600000,84230.11000000,84288.62000000,84192.57000000,84242.24000000,135.71372000,1742713199999,11432175.41125410,21077,56.88102000,4791634.50896380,0
1742713200000,84242.25000000,84328.24000000,84216.98000000,84279.82000000,120.90156000,1742716799999,10189508.80604370,19163,54.93321000,4629297.46123650,0
1742716800000,84279.82000000,84354.20000000,84263.05000000,84347.12000000,208.36154000,1742720399999,17567802.98383790,25700,104.73618000,8830406.92331380,0
1742720400000,84347.12000000,84376.25000000,84320.00000000,84325.66000000,170.00464000,1742723999999,14338810.97336540,18789,61.60280000,5195833.07794230,0
1742724000000,84325.67000000,84500.00000000,84314.31000000,84461.98000000,220.59011000,1742727599999,18618389.62137220,25909,105.25997000,8883775.92150750,0
1742727600000,84461.98000000,85027.32000000,84461.97000000,84679.99000000,1038.99732000,1742731199999,88116257.17355120,108349,590.44235000,50072417.46408860,0
1742731200000,84680.00000000,84811.48000000,84573.40000000,84725.24000000,314.80166000,1742734799999,26669324.73342630,48299,162.58283000,13772582.89024390,0
1742734800000,84725.24000000,85108.47000000,84644.24000000,85093.59000000,630.37542000,1742738399999,53544819.43598840,77844,389.01906000,33050894.56143070,0
1742738400000,85093.59000000,85214.35000000,84850.43000000,84899.76000000,579.89326000,1742741999999,49290129.63327950,88018,247.14318000,21012877.27371830,0
1742742000000,84899.77000000,85254.17000000,84899.76000000,85189.41000000,440.67070000,1742745599999,37506432.61512920,72018,230.84211000,19649899.22910340,0
1742745600000,85189.41000000,85394.37000000,84942.77000000,85250.00000000,588.31748000,1742749199999,50124077.64172570,85550,304.74813000,25967354.61967490,0
1742749200000,85250.01000000,85413.05000000,84876.87000000,85017.66000000,462.33011000,1742752799999,39361572.45110550,78096,200.75798000,17094303.59351870,0
1742752800000,85017.67000000,85036.00000000,84800.00000000,84972.78000000,336.96182000,1742756399999,28614232.41097290,47708,153.84609000,13063673.96606550,0
1742756400000,84972.79000000,85080.00000000,84903.94000000,85011.19000000,193.58100000,1742759999999,16454835.67311270,29249,91.92359000,7812823.19544970,0
1742760000000,85011.20000000,85272.65000000,85011.19000000,85102.62000000,223.47842000,1742763599999,19032695.93078740,35664,99.03999000,8435245.19604810,0
1742763600000,85102.61000000,85184.00000000,84923.91000000,85179.99000000,220.04471000,1742767199999,18709429.38099690,37459,117.81295000,10016841.89286880,0
1742767200000,85179.99000000,85679.18000000,85160.37000000,85361.21000000,672.70218000,1742770799999,57469566.54074500,103067,406.34878000,34717273.33008270,0
1742770800000,85361.22000000,86129.64000000,85361.22000000,86082.50000000,888.58802000,1742774399999,76241077.93125180,103247,559.90382000,48057362.98758580,0
1742774400000,86082.50000000,86641.13000000,85865.64000000,86021.74000000,1253.79740000,1742777999999,108088688.07490310,160949,681.55627000,58778136.62779470,0
1742778000000,86021.74000000,86038.78000000,85528.38000000,85563.04000000,808.31786000,1742781599999,69304283.03954440,109018,349.28166000,29951276.53862330,0
1742781600000,85563.03000000,85950.00000000,85519.09000000,85883.16000000,491.12974000,1742785199999,42113603.67656300,70428,252.51641000,21654739.12597090,0
1742785200000,85883.16000000,86577.15000000,85875.91000000,86532.07000000,1018.39825000,1742788799999,87861923.95742590,122660,587.63876000,50686944.88150630,0
1742788800000,86532.07000000,86932.47000000,86532.06000000,86841.83000000,1254.55624000,1742792399999,108841050.43535920,135881,498.96870000,43289872.96437140,0
1742792400000,86841.83000000,87027.32000000,86812.05000000,86899.73000000,899.47140000,1742795999999,78191892.43665740,86703,503.35815000,43761629.54415100,0
1742796000000,86899.72000000,87300.00000000,86899.72000000,87113.37000000,1182.96937000,1742799599999,102980858.87246440,101026,594.49555000,51750863.07009750,0
1742799600000,87113.37000000,87178.52000000,86753.10000000,86874.52000000,840.27046000,1742803199999,73058888.57751160,79956,388.68903000,33799812.26254390,0
1742803200000,86874.52000000,87519.38000000,86838.76000000,87416.35000000,1152.73374000,1742806799999,100607804.71755450,107180,775.87632000,67719342.75708020,0
1742806800000,87416.34000000,87513.52000000,87125.72000000,87163.73000000,697.87829000,1742810399999,60922674.92073880,74245,348.22901000,30400372.10795240,0
1742810400000,87163.73000000,87909.99000000,87129.63000000,87801.27000000,1152.29060000,1742813999999,100910857.23952500,91099,715.29016000,62633099.62730650,0
1742814000000,87801.28000000,87858.82000000,87515.25000000,87689.52000000,731.38051000,1742817599999,64126513.59183350,77646,343.65195000,30137333.96966290,0
1742817600000,87689.52000000,87711.70000000,87246.89000000,87328.10000000,1023.53081000,1742821199999,89499959.46785740,129895,470.41518000,41147053.05070880,0
1742821200000,87328.09000000,87710.33000000,87138.60000000,87704.46000000,1429.38625000,1742824799999,124954196.76656730,159927,830.19852000,72595810.00192410,0
1742824800000,87704.47000000,88765.43000000,87640.77000000,87961.90000000,4043.87489000,1742828399999,356834713.27643780,313332,2128.90039000,187948736.78403460,0
1742828400000,87961.90000000,88372.00000000,87678.06000000,88350.01000000,1848.70464000,1742831999999,162789365.04603870,174158,898.57833000,79148343.64001240,0
1742832000000,88350.01000000,88499.98000000,87690.59000000,88057.54000000,1818.05892000,1742835599999,160125107.31130370,183227,697.52441000,61452010.88025030,0
1742835600000,88057.53000000,88486.55000000,87941.06000000,88461.88000000,1471.35010000,1742839199999,129855603.03376210,121418,751.17126000,66285378.11203460,0
1742839200000,88461.88000000,88536.00000000,88123.11000000,88464.38000000,915.48486000,1742842799999,80907961.95060350,99615,406.89698000,35964881.25058500,0
1742842800000,88464.38000000,88508.00000000,87967.82000000,88222.00000000,1445.94120000,1742846399999,127608254.99792500,115170,422.10960000,37250852.75795040,0
1742846400000,88222.01000000,88481.14000000,87807.62000000,87832.00000000,1094.06938000,1742849999999,96394852.28868360,98027,355.26791000,31307769.89844180,0
